set,z,num
4,9.25,13.0
5,9.25,0.0
6,9.25,0.0
7,9.25,0.0
8,9.25,0.0
9,9.25,2.0
10,9.25,4.0
11,9.25,0.0
12,9.25,0.0
1,9.5,0.0
2,9.5,14.0
3,9.5,0.0
4,9.5,10.0
5,9.5,0.0
6,9.5,0.0
7,9.5,0.0
8,9.5,0.0
9,9.5,2.0
10,9.5,2.0
11,9.5,0.0
12,9.5,0.0
1,9.75,0.0
2,9.75,11.0
3,9.75,0.0
4,9.75,15.0
5,9.75,0.0
6,9.75,0.0
7,9.75,0.0
8,9.75,0.0
9,9.75,1.0
10,9.75,2.0
11,9.75,0.0
12,9.75,0.0
1,10.0,0.0
2,10.0,13.0
3,10.0,0.0
4,10.0,3.0
5,10.0,0.0
6,10.0,0.0
7,10.0,0.0
8,10.0,0.0
9,10.0,0.0
10,10.0,6.0
11,10.0,0.0
12,10.0,0.0
1,10.25,0.0
2,10.25,6.0
3,10.25,0.0
4,10.25,15.0
5,10.25,0.0
6,10.25,0.0
7,10.25,0.0
8,10.25,0.0
9,10.25,0.0
10,10.25,1.0
11,10.25,0.0
12,10.25,0.0
1,10.5,0.0
2,10.5,7.0
3,10.5,0.0
4,10.5,11.0
5,10.5,0.0
6,10.5,0.0
7,10.5,0.0
8,10.5,0.0
9,10.5,0.0
10,10.5,2.0
11,10.5,0.0
12,10.5,0.0
1,10.75,1.0
2,10.75,5.0
3,10.75,0.0
4,10.75,8.0
5,10.75,0.0
6,10.75,0.0
7,10.75,0.0
8,10.75,0.0
9,10.75,1.0
10,10.75,1.0
11,10.75,0.0
12,10.75,0.0
1,11.0,0.0
2,11.0,2.0
3,11.0,0.0
4,11.0,5.0
5,11.0,0.0
6,11.0,0.0
7,11.0,0.0
8,11.0,0.0
9,11.0,1.0
10,11.0,1.0
11,11.0,0.0
12,11.0,0.0
1,11.25,0.0
2,11.25,3.0
3,11.25,0.0
4,11.25,5.0
5,11.25,0.0
6,11.25,0.0
7,11.25,0.0
8,11.25,0.0
9,11.25,0.0
10,11.25,0.0
11,11.25,0.0
12,11.25,0.0
1,11.5,0.0
2,11.5,5.0
3,11.5,0.0
4,11.5,4.0
5,11.5,0.0
6,11.5,0.0
7,11.5,0.0
8,11.5,0.0
9,11.5,0.0
10,11.5,2.0
11,11.5,0.0
12,11.5,0.0
1,11.75,0.0
2,11.75,3.0
3,11.75,0.0
4,11.75,2.0
5,11.75,0.0
6,11.75,0.0
7,11.75,0.0
8,11.75,0.0
9,11.75,0.0
10,11.75,2.0
11,11.75,0.0
12,11.75,0.0
1,12.0,1.0
2,12.0,5.0
3,12.0,0.0
4,12.0,3.0
5,12.0,0.0
6,12.0,0.0
7,12.0,0.0
8,12.0,0.0
9,12.0,1.0
10,12.0,0.0
11,12.0,0.0
12,12.0,0.0
1,12.25,0.0
2,12.25,1.0
3,12.25,0.0
4,12.25,4.0
5,12.25,0.0
6,12.25,0.0
7,12.25,0.0
8,12.25,0.0
9,12.25,0.0
10,12.25,0.0
11,12.25,0.0
12,12.25,0.0
1,12.5,0.0
2,12.5,3.0
3,12.5,0.0
4,12.5,3.0
5,12.5,0.0
6,12.5,0.0
7,12.5,0.0
8,12.5,0.0
9,12.5,1.0
10,12.5,0.0
11,12.5,0.0
12,12.5,0.0
1,12.75,0.0
2,12.75,4.0
3,12.75,0.0
4,12.75,3.0
5,12.75,0.0
6,12.75,0.0
7,12.75,0.0
8,12.75,0.0
9,12.75,0.0
10,12.75,2.0
11,12.75,0.0
12,12.75,0.0
1,13.0,0.0
2,13.0,2.0
3,13.0,0.0
4,13.0,3.0
5,13.0,0.0
6,13.0,0.0
7,13.0,0.0
8,13.0,0.0
9,13.0,0.0
10,13.0,0.0
11,13.0,0.0
12,13.0,0.0
1,13.25,0.0
2,13.25,3.0
3,13.25,0.0
4,13.25,4.0
5,13.25,0.0
6,13.25,0.0
7,13.25,0.0
8,13.25,0.0
9,13.25,0.0
10,13.25,0.0
11,13.25,0.0
12,13.25,0.0
1,13.5,0.0
2,13.5,4.0
3,13.5,0.0
4,13.5,3.0
5,13.5,0.0
6,13.5,0.0
7,13.5,0.0
8,13.5,0.0
9,13.5,0.0
10,13.5,2.0
11,13.5,0.0
12,13.5,0.0
1,13.75,0.0
2,13.75,2.0
3,13.75,0.0
4,13.75,5.0
5,13.75,0.0
6,13.75,0.0
7,13.75,0.0
8,13.75,0.0
9,13.75,0.0
10,13.75,1.0
11,13.75,0.0
12,13.75,0.0
1,14.0,0.0
2,14.0,1.0
3,14.0,0.0
4,14.0,1.0
5,14.0,0.0
6,14.0,0.0
7,14.0,0.0
8,14.0,0.0
9,14.0,0.0
10,14.0,1.0
11,14.0,0.0
12,14.0,0.0
1,14.25,0.0
2,14.25,2.0
3,14.25,0.0
4,14.25,2.0
5,14.25,0.0
6,14.25,0.0
7,14.25,0.0
8,14.25,0.0
9,14.25,0.0
10,14.25,1.0
11,14.25,0.0
12,14.25,0.0
1,14.5,0.0
2,14.5,3.0
3,14.5,0.0
4,14.5,1.0
5,14.5,0.0
6,14.5,0.0
7,14.5,0.0
8,14.5,0.0
9,14.5,1.0
10,14.5,2.0
11,14.5,0.0
12,14.5,0.0
1,14.75,0.0
2,14.75,4.0
3,14.75,0.0
4,14.75,2.0
5,14.75,0.0
6,14.75,0.0
7,14.75,0.0
8,14.75,0.0
9,14.75,0.0
10,14.75,0.0
11,14.75,0.0
12,14.75,0.0
1,15.0,0.0
2,15.0,2.0
3,15.0,0.0
4,15.0,3.0
5,15.0,0.0
6,15.0,0.0
7,15.0,0.0
8,15.0,0.0
9,15.0,0.0
10,15.0,1.0
11,15.0,0.0
12,15.0,0.0
1,15.25,0.0
2,15.25,1.0
3,15.25,0.0
4,15.25,0.0
5,15.25,0.0
6,15.25,0.0
7,15.25,0.0
8,15.25,0.0
9,15.25,0.0
10,15.25,0.0
11,15.25,0.0
12,15.25,0.0
1,15.5,0.0
2,15.5,1.0
3,15.5,0.0
4,15.5,4.0
5,15.5,0.0
6,15.5,0.0
7,15.5,0.0
8,15.5,0.0
9,15.5,0.0
10,15.5,0.0
11,15.5,0.0
12,15.5,0.0
1,15.75,0.0
2,15.75,1.0
3,15.75,0.0
4,15.75,0.0
5,15.75,0.0
6,15.75,0.0
7,15.75,0.0
8,15.75,0.0
9,15.75,0.0
10,15.75,0.0
11,15.75,0.0
12,15.75,0.0
1,16.0,0.0
2,16.0,1.0
3,16.0,0.0
4,16.0,2.0
5,16.0,0.0
6,16.0,0.0
7,16.0,0.0
8,16.0,0.0
9,16.0,0.0
10,16.0,0.0
11,16.0,0.0
12,16.0,0.0
1,16.25,0.0
2,16.25,0.0
3,16.25,0.0
4,16.25,1.0
5,16.25,0.0
6,16.25,0.0
7,16.25,0.0
8,16.25,0.0
9,16.25,0.0
10,16.25,0.0
11,16.25,0.0
12,16.25,0.0
1,16.5,0.0
2,16.5,1.0
3,16.5,0.0
4,16.5,1.0
5,16.5,0.0
6,16.5,0.0
7,16.5,0.0
8,16.5,0.0
9,16.5,0.0
10,16.5,0.0
11,16.5,0.0
12,16.5,0.0
1,16.75,0.0
2,16.75,2.0
3,16.75,0.0
4,16.75,1.0
5,16.75,0.0
6,16.75,0.0
7,16.75,0.0
8,16.75,0.0
9,16.75,0.0
10,16.75,0.0
11,16.75,0.0
12,16.75,0.0
1,17.0,0.0
2,17.0,2.0
3,17.0,0.0
4,17.0,2.0
5,17.0,0.0
6,17.0,0.0
7,17.0,0.0
8,17.0,0.0
9,17.0,0.0
10,17.0,0.0
11,17.0,0.0
12,17.0,0.0
1,17.25,0.0
2,17.25,0.0
3,17.25,0.0
4,17.25,1.0
5,17.25,0.0
6,17.25,0.0
7,17.25,0.0
8,17.25,0.0
9,17.25,0.0
10,17.25,0.0
11,17.25,0.0
12,17.25,0.0
1,17.5,0.0
2,17.5,1.0
3,17.5,0.0
4,17.5,0.0
5,17.5,0.0
6,17.5,0.0
7,17.5,0.0
8,17.5,0.0
9,17.5,0.0
10,17.5,0.0
11,17.5,0.0
12,17.5,0.0
1,17.75,0.0
2,17.75,0.0
3,17.75,0.0
4,17.75,1.0
5,17.75,0.0
6,17.75,0.0
7,17.75,0.0
8,17.75,0.0
9,17.75,0.0
10,17.75,0.0
11,17.75,0.0
12,17.75,0.0
1,18.0,0.0
2,18.0,0.0
3,18.0,0.0
4,18.0,1.0
5,18.0,0.0
6,18.0,0.0
7,18.0,0.0
8,18.0,0.0
9,18.0,0.0
10,18.0,0.0
11,18.0,0.0
12,18.0,0.0
1,18.25,0.0
2,18.25,2.0
3,18.25,0.0
4,18.25,1.0
5,18.25,0.0
6,18.25,0.0
7,18.25,0.0
8,18.25,0.0
9,18.25,0.0
10,18.25,0.0
11,18.25,0.0
12,18.25,0.0
1,18.5,0.0
2,18.5,1.0
3,18.5,0.0
4,18.5,1.0
5,18.5,0.0
6,18.5,0.0
7,18.5,0.0
8,18.5,0.0
9,18.5,0.0
10,18.5,0.0
11,18.5,0.0
12,18.5,0.0
1,18.75,0.0
2,18.75,0.0
3,18.75,0.0
4,18.75,2.0
5,18.75,0.0
6,18.75,0.0
7,18.75,0.0
8,18.75,0.0
9,18.75,0.0
10,18.75,0.0
11,18.75,0.0
12,18.75,0.0
1,19.0,0.0
2,19.0,2.0
3,19.0,0.0
4,19.0,1.0
5,19.0,0.0
6,19.0,0.0
7,19.0,0.0
8,19.0,0.0
9,19.0,0.0
10,19.0,1.0
11,19.0,0.0
12,19.0,0.0
1,19.25,0.0
2,19.25,0.0
3,19.25,0.0
4,19.25,1.0
5,19.25,0.0
6,19.25,0.0
7,19.25,0.0
8,19.25,0.0
9,19.25,0.0
10,19.25,0.0
11,19.25,0.0
12,19.25,0.0
1,19.5,0.0
2,19.5,1.0
3,19.5,0.0
4,19.5,1.0
5,19.5,0.0
6,19.5,0.0
7,19.5,0.0
8,19.5,0.0
9,19.5,0.0
10,19.5,1.0
11,19.5,0.0
12,19.5,0.0
1,19.75,0.0
2,19.75,1.0
3,19.75,0.0
4,19.75,2.0
5,19.75,0.0
6,19.75,0.0
7,19.75,0.0
8,19.75,0.0
9,19.75,0.0
10,19.75,1.0
11,19.75,0.0
12,19.75,0.0
1,20.0,0.0
2,20.0,0.0
