set,int,length
2,425,32.4
2,426,75.6
2,427,91.8
2,428,321.3
2,429,48.6
3,429,864
4,429,21.6
2,429,35.1
2,430,70.2
2,431,89.1
4,431,64.8
2,432,56.7
2,433,172.8
4,433,278.1
2,434,59.4
3,434,442.8
4,434,712.8
2,434,342.9
2,435,83.7
2,436,59.4
2,437,48.6
2,438,59.4
4,438,210.6
2,439,64.8
2,440,54
2,440,197.1
3,440,461.7
4,440,162
2,440,434.7
3,440,1063.8
2,441,48.6
2,442,18.9
2,443,634.5
4,443,164.7
4,443,939.6
2,443,35.1
3,443,791.1
2,444,108
3,444,202.5
4,444,1212.3
2,445,45.9
2,445,391.5
4,445,1015.2
2,446,97.2
3,446,936.9
4,446,175.5
3,446,413.1
4,446,105.3
2,446,909.9
3,446,540
4,446,542.7
2,447,35.1
2,448,32.4
3,448,513
4,448,580.5
2,449,488.7
2,450,180.9
2,451,18.9
2,452,118.8
4,452,81
2,453,35.1
2,454,24.3
4,454,548.1
2,455,18.9
2,456,24.3
2,457,342.9
2,458,45.9
2,459,48.6
2,459,661.5
3,459,364.5
2,460,656.1
2,460,348.3
2,460,78.3
2,460,494.1
4,460,610.2
2,461,2.7
3,461,734.4
4,461,526.5
4,461,383.4
2,462,18.9
2,462,240.3
2,463,5.4
2,463,237.6
2,464,8.1
3,464,37.8
2,465,197.1
2,466,442.8
3,466,1244.7
2,467,2.7
2,468,62.1
2,468,170.1
3,468,480.6
4,468,745.2
3,468,305.1
2,468,291.6
2,469,113.4
4,469,537.3
3,469,310.5
4,0,607.5
3,0,996.3
4,0,1347.3
3,0,378
4,0,926.1
4,0,534.6
4,0,70.2
4,0,102.6
2,0,256.5
4,0,183.6
2,0,5.4
4,0,742.5
2,0,8.1
4,0,259.2
2,0,218.7
2,0,761.4
3,0,167.4
3,0,780.3
4,0,1547.1
3,0,939.6
4,0,432
4,0,777.6
2,0,89.1
2,0,329.4
3,0,661.5
4,0,288.9
2,0,812.7
3,0,648
4,0,1204.2
4,0,1015.2
2,0,429.3
2,0,94.5
2,0,413.1
2,0,297
4,0,29.7
3,0,143.1
4,0,1166.4
2,0,324
2,0,275.4
4,0,664.2
2,0,396.9
4,0,1204.2
2,0,502.2
2,0,504.9
2,0,542.7
2,0,105.3
2,0,51.3
4,0,1144.8
2,0,315.9
2,0,186.3
4,0,521.1
2,0,504.9
2,0,345.6
2,0,1323
2,0,213.3
2,0,564.3
2,0,140.4
2,0,159.3
2,0,364.5
2,0,59.4
4,0,189
2,0,324
2,0,434.7
2,0,947.7
2,0,21.6
2,0,118.8
2,0,145.8
2,0,1004.4
2,0,545.4
4,0,423.9
2,0,302.4
2,0,153.9
2,0,467.1
2,1,121.5
2,1,54
2,1,97.2
4,1,375.3
2,1,405
2,1,189
2,1,275.4
2,1,361.8
4,1,429.3
2,2,210.6
2,2,121.5
2,3,194.4
3,3,645.3
3,3,974.7
4,3,699.3
2,4,548.1
2,5,604.8
2,6,540
2,7,94.5
2,7,305.1
3,7,445.5
2,8,286.2
2,9,256.5
2,10,35.1
2,10,561.6
2,11,245.7
2,11,189
2,12,110.7
2,13,872.1
2,13,178.2
2,14,313.2
2,14,348.3
4,14,37.8
2,15,207.9
2,15,469.8
2,15,75.6
2,15,388.8
2,15,162
2,16,113.4
3,16,599.4
2,17,834.3
3,17,664.2
4,17,299.7
3,17,151.2
4,17,745.2
2,18,99.9
2,18,137.7
2,19,126.9
2,20,399.6
3,20,804.6
4,20,151.2
2,20,108
2,21,291.6
2,22,29.7
2,23,399.6
2,24,243
2,25,210.6
2,26,102.6
2,26,172.8
2,27,866.7
3,27,1042.2
4,27,432
2,27,540
2,28,18.9
3,28,81
2,29,156.6
2,30,855.9
2,31,307.8
2,31,78.3
2,32,191.7
2,33,785.7
3,33,1117.8
4,33,148.5
2,34,167.4
2,34,170.1
2,34,621
2,34,121.5
3,34,785.7
4,34,494.1
2,35,54
3,35,126.9
4,35,1136.7
2,35,259.2
2,35,164.7
2,36,27
2,37,153.9
2,38,307.8
2,39,113.4
2,40,86.4
2,40,29.7
2,41,272.7
2,42,702
3,42,175.5
2,43,631.8
2,43,515.7
4,43,45.9
2,43,129.6
2,44,299.7
2,45,72.9
2,46,278.1
2,47,942.3
2,48,175.5
4,48,140.4
2,49,234.9
3,49,186.3
2,50,37.8
2,51,89.1
2,52,383.4
2,53,337.5
2,53,205.2
2,53,24.3
2,54,515.7
2,54,37.8
2,54,162
2,55,37.8
2,56,864
2,57,486
2,58,807.3
2,59,21.6
2,59,337.5
2,60,118.8
2,61,337.5
2,61,86.4
2,62,321.3
2,62,221.4
2,63,64.8
2,63,121.5
4,63,413.1
2,64,183.6
2,65,72.9
2,65,345.6
4,65,580.5
2,66,91.8
2,66,556.2
3,66,364.5
2,67,837
2,68,723.6
3,68,1182.6
2,69,405
2,69,81
2,69,199.8
2,69,264.6
2,70,591.3
2,71,891
2,72,218.7
2,73,67.5
3,73,140.4
4,73,283.5
2,74,596.7
2,75,124.2
2,76,175.5
2,77,1023.3
4,77,1044.9
3,77,1074.6
2,78,86.4
4,78,351
2,79,167.4
2,80,191.7
2,81,156.6
2,82,699.3
2,83,148.5
2,83,210.6
2,84,118.8
2,85,216
2,86,110.7
2,87,48.6
2,88,402.3
2,89,21.6
2,90,234.9
2,91,405
2,91,348.3
2,92,278.1
2,93,40.5
3,93,1309.5
4,93,94.5
2,93,442.8
2,93,94.5
2,94,521.1
3,94,548.1
4,94,56.7
3,94,234.9
2,94,43.2
2,95,89.1
4,95,477.9
4,95,653.4
2,96,210.6
2,97,383.4
2,98,48.6
3,98,129.6
4,98,877.5
3,98,324
2,99,675
2,100,153.9
2,100,43.2
2,101,99.9
2,101,8.1
2,102,537.3
2,103,135
2,104,216
2,105,210.6
2,106,388.8
2,107,216
2,107,440.1
4,107,118.8
2,107,81
4,107,75.6
4,107,378
2,108,83.7
3,108,912.6
4,108,175.5
3,108,207.9
2,108,372.6
2,109,502.2
2,110,1104.3
2,111,396.9
2,112,221.4
2,113,356.4
2,114,40.5
2,115,135
2,116,799.2
2,117,288.9
2,118,13.5
2,119,434.7
2,119,324
3,119,1115.1
4,119,577.8
3,119,842.4
2,120,129.6
3,120,253.8
2,121,132.3
2,122,402.3
2,123,45.9
2,124,515.7
2,125,54
2,126,145.8
3,126,550.8
2,127,585.9
2,128,21.6
3,128,720.9
4,128,1069.2
2,129,164.7
2,130,35.1
2,130,372.6
2,130,18.9
3,130,475.2
2,131,291.6
2,132,361.8
2,132,164.7
2,133,496.8
2,134,51.3
2,135,102.6
2,135,405
2,135,143.1
3,135,243
2,135,186.3
2,136,81
3,136,826.2
2,137,874.8
2,138,245.7
2,139,774.9
2,140,264.6
2,141,194.4
2,142,29.7
2,143,453.6
2,143,8.1
2,144,91.8
2,144,170.1
2,145,426.6
2,146,62.1
2,147,51.3
2,148,496.8
2,149,297
2,149,388.8
4,149,507.6
2,150,172.8
2,151,399.6
2,152,137.7
2,153,67.5
2,153,164.7
2,154,280.8
2,155,356.4
3,155,1104.3
4,155,148.5
2,156,105.3
4,156,175.5
2,157,513
2,158,345.6
2,159,108
2,160,45.9
4,160,515.7
2,161,89.1
4,161,97.2
2,162,612.9
2,163,310.5
2,164,440.1
2,165,234.9
3,165,405
4,165,742.5
2,166,272.7
2,167,35.1
2,168,334.8
2,168,89.1
2,169,135
2,170,13.5
2,171,656.1
2,171,8.1
2,172,615.6
2,173,78.3
2,174,291.6
2,175,86.4
2,176,78.3
2,177,153.9
2,178,526.5
3,178,440.1
4,178,1093.5
2,179,440.1
2,180,27
4,180,577.8
2,181,99.9
2,182,13.5
2,182,351
3,182,1206.9
4,182,464.4
2,183,167.4
2,183,97.2
2,184,191.7
2,184,183.6
2,185,72.9
2,186,275.4
2,187,264.6
2,188,418.5
2,189,426.6
3,189,1071.9
4,189,132.3
4,189,162
2,189,318.6
4,189,75.6
4,189,189
2,189,475.2
2,189,129.6
2,189,51.3
4,189,691.2
2,190,480.6
3,190,950.4
2,191,245.7
2,192,310.5
2,193,194.4
2,193,62.1
2,194,67.5
3,194,148.5
3,194,1058.4
4,194,926.1
2,195,218.7
3,195,464.4
2,196,302.4
2,197,108
4,197,45.9
3,197,1347.3
2,197,135
2,198,364.5
2,199,118.8
2,200,540
4,200,558.9
2,201,62.1
2,202,121.5
4,202,375.3
3,202,521.1
4,202,669.6
2,202,29.7
2,202,561.6
2,203,369.9
3,203,534.6
2,204,369.9
2,205,189
2,206,205.2
2,207,369.9
2,208,315.9
2,209,64.8
3,209,367.2
4,209,1352.7
2,210,342.9
2,211,253.8
2,212,81
2,212,561.6
4,212,70.2
3,212,372.6
4,212,1112.4
2,213,162
3,213,348.3
4,213,1285.2
4,213,105.3
2,214,64.8
2,215,372.6
2,216,302.4
2,217,140.4
2,217,275.4
2,218,81
2,218,259.2
4,218,642.6
3,218,143.1
4,218,1101.6
3,218,132.3
4,218,982.8
2,219,321.3
3,219,963.9
2,220,121.5
4,220,896.4
2,221,145.8
3,221,1034.1
3,221,985.5
4,221,804.6
2,222,234.9
3,222,1379.7
4,222,13.5
2,223,13.5
2,224,221.4
4,224,459
2,225,442.8
2,226,172.8
2,227,213.3
4,227,21.6
2,228,291.6
2,229,305.1
4,229,720.9
2,230,175.5
2,231,364.5
3,231,1611.9
4,231,205.2
3,231,518.4
2,232,67.5
2,232,224.1
3,232,972
3,232,153.9
4,232,853.2
3,232,891
4,232,888.3
2,233,148.5
2,234,162
2,235,432
2,235,124.2
4,235,318.6
2,235,153.9
2,236,99.9
3,236,1177.2
4,236,421.2
2,237,178.2
3,237,904.5
2,238,126.9
2,239,153.9
3,239,288.9
2,240,43.2
2,241,213.3
4,241,342.9
4,241,256.5
2,242,16.2
2,243,48.6
2,244,178.2
2,245,315.9
2,245,143.1
2,246,288.9
2,246,132.3
4,246,855.9
2,246,10.8
4,246,828.9
2,247,364.5
3,247,229.5
4,247,529.2
2,248,297
2,248,67.5
2,248,124.2
4,248,391.5
3,248,753.3
2,249,129.6
3,249,864
2,250,180.9
2,251,229.5
3,251,1031.4
4,251,459
2,252,210.6
2,253,351
4,253,742.5
2,254,329.4
2,255,91.8
